plot_cn,SPCD,species_name,scientific_name,tree_count,avg_dia,max_dia,avg_ht,total_carbon,trees_5plus_inches,state
558630580126144,119,western white pine,Pinus monticola,1,32.3,32.3,115.0,3851.378528,1,OR
558630580126144,202,Douglas-fir,Pseudotsuga menziesii,4,37.725,57.5,117.75,24962.308791,4,OR
558630580126144,431,"giant chinkapin, golden chinkapin",Chrysolepis chrysophylla var. chrysophylla,1,1.4,1.4,9.0,0.892617,0,OR
558630661126144,15,white fir,Abies concolor,12,12.625,32.1,61.833333333333336,8686.781254,10,OR
558630661126144,21,Shasta red fir,Abies shastensis,17,10.547058823529412,40.4,56.411764705882355,10770.041464,15,OR
558630661126144,202,Douglas-fir,Pseudotsuga menziesii,10,11.14,14.2,63.1,3287.478321,10,OR
558630661126144,431,"giant chinkapin, golden chinkapin",Chrysolepis chrysophylla var. chrysophylla,3,7.333333333333333,11.2,23.666666666666668,203.33465,3,OR
558630661126144,492,Pacific dogwood,Cornus nuttallii,2,2.6,2.7,24.5,18.965694999999997,0,OR
558630732126144,202,Douglas-fir,Pseudotsuga menziesii,19,19.88421052631579,57.5,99.10526315789474,59281.388889,19,OR
558630732126144,242,western redcedar,Thuja plicata,7,37.91428571428571,53.5,150.57142857142858,33198.135717,7,OR
558630732126144,263,western hemlock,Tsuga heterophylla,8,13.275,27.1,67.875,6778.6852069999995,7,OR
645305584126144,122,ponderosa pine,Pinus ponderosa,1,9.0,9.0,23.0,116.03661,1,OR
714228637290487,64,western juniper,Juniperus occidentalis,3,12.166666666666666,13.6,37.0,720.231379,3,OR
714228637290487,122,ponderosa pine,Pinus ponderosa,11,17.772727272727273,29.7,61.54545454545455,10798.35463,11,OR
714228696290487,15,white fir,Abies concolor,25,10.06,21.5,52.44,9338.220304,25,OR
714260445290487,15,white fir,Abies concolor,34,16.323529411764707,35.7,70.67647058823529,53276.235295,32,OR
714260445290487,21,Shasta red fir,Abies shastensis,14,19.24285714285714,35.1,89.42857142857143,24474.555007,14,OR
714260445290487,202,Douglas-fir,Pseudotsuga menziesii,1,33.2,33.2,148.0,6328.438638,1,OR
715050766290487,15,white fir,Abies concolor,5,27.360000000000003,46.9,118.6,23244.764513000002,5,OR
715050766290487,122,ponderosa pine,Pinus ponderosa,16,20.18125,34.1,88.3125,28325.23086,16,OR
750064459290487,15,white fir,Abies concolor,4,25.55,33.4,118.75,14641.389168,4,OR
750064459290487,122,ponderosa pine,Pinus ponderosa,1,31.6,31.6,131.0,4904.731524,1,OR
750064459290487,202,Douglas-fir,Pseudotsuga menziesii,8,30.5625,37.4,138.5,41536.342076,8,OR
750084983290487,15,white fir,Abies concolor,13,19.700000000000003,36.4,98.07692307692308,49734.523236,9,OR
750084983290487,119,western white pine,Pinus monticola,3,29.433333333333334,44.0,148.33333333333334,15452.950063,3,OR
750084983290487,202,Douglas-fir,Pseudotsuga menziesii,12,24.583333333333332,40.3,119.75,44222.995261000004,12,OR
750084983290487,263,western hemlock,Tsuga heterophylla,2,18.35,31.2,84.5,4477.670961,2,OR
750084983290487,351,red alder,Alnus rubra,1,1.1,1.1,12.0,1.190893,0,OR
750085750290487,17,grand fir,Abies grandis,10,6.57,26.1,36.1,3163.5945799999995,4,OR
750085750290487,93,Engelmann spruce,Picea engelmannii,5,14.26,27.8,72.6,3594.969344,5,OR
