id,observed_on,latitude,longitude,geoprivacy,scientific_name
64713520,2020-11-11,48.0337445,-123.4069133333,,Cantharellus formosus
64714583,2020-11-02,47.012675,-121.1138695,,Cantharellus cascadensis
64909028,2020-11-14,47.8512435931,-122.6137066712,obscured,Cantharellus formosus
64917035,2020-11-13,46.2525672215,-123.4857094671,obscured,Cantharellus formosus
64998235,2020-11-15,48.064066507,-122.8296707055,obscured,Cantharellus subalbidus
64998240,2020-11-15,48.0671194089,-122.9123223023,obscured,Cantharellus formosus
65237791,2013-11-28,47.6556,-122.5606,,Cantharellus formosus
65247109,2020-10-08,45.9804,-121.883,,Cantharellus formosus
65358007,2020-11-21,47.601308101,-122.5241805406,,Cantharellus formosus
65359961,2020-11-16,47.8474612637,-122.5871317673,,Cantharellus formosus
65381614,2020-11-21,47.6101254639,-122.5280829888,,Cantharellus formosus
65461242,2020-10-01,47.0652721667,-122.987245,,Cantharellus subalbidus
65571745,2020-11-12,46.6231982536,-121.4370974247,,Cantharellus cascadensis
